,,,,,,
,Pour,Contre,Ne vote pas,Did not vote,Absent,
,"Aldwell, Sue","De Lisle, David","Brouard, Al","Gollop, John","Parkinson, Charles",
,"Blin, Chris","Inder, Neil",,,,
,"Burford, Yvonne","Prow, Robert",,,,
,"Bury, Tina",,,,,
,"Cameron, Andy",,,,,
,"De Sausmarez, Lindsay",,,,,
,"Dudley-Owen, Andrea",,,,,
,"Dyke, John",,,,,
,"Fairclough, Simon",,,,,
,"Falla, Steve",,,,,
,"Ferbrache, Peter",,,,,
,"Gabriel, Adrian",,,,,
,"Haskins, Sam",,,,,
,"Helyar, Mark",,,,,
,"Kazantseva-Miller, Sasha",,,,,
,"Le Tissier, Chris",,,,,
,"Le Tocq, Jonathan",,,,,
,"Leadbeater, Marc",,,,,
,"Mahoney, David",,,,,
,"Matthews, Aidan",,,,,
,"McKenna, Liam",,,,,
,"Meerveld, Carl",,,,,
,"Moakes, Nick",,,,,
,"Murray, Bob",,,,,
,"Oliver, Victoria",,,,,
,"Queripel, Lester",,,,,
,"Roberts, Steve",,,,,
,"Roffey, Peter",,,,,
,"Snowdon, Alexander",,,,,
,"Soulsby, Heidi",,,,,
,"St Pier, Gavin",,,,,
,"Taylor, Andrew",,,,,
,"Trott, Lyndon",,,,,
,"Vermeulen, Simon",,,,,
